Algoritmo,Tamanho,Tempo,Comparacoes,Movimentacoes
Selection Sort,100,0,4950,291
Insertion Sort,100,0,2389,2392
Bubble Sort,100,0,4779,6879
Quicksort,100,0,735,1152
Selection Sort,1000,3,499500,2985
Insertion Sort,1000,2,253268,253275
Bubble Sort,1000,5,498174,756828
Quicksort,1000,0,10621,15408
Selection Sort,10000,66,49995000,29970
Insertion Sort,10000,28,25273901,25273910
Bubble Sort,10000,130,49993404,75791733
Quicksort,10000,1,176433,338667
Selection Sort,100000,4528,4999950000,299949
Insertion Sort,100000,3210,2502505095,2502505101
Bubble Sort,100000,19038,4999848975,7507215306
Quicksort,100000,7,2260160,4270440
